NOME;NOME FANTASIA;CNPJ;ANO;Relatório;ESCOPO;Categoria;Emissões (tCO2e);Emissões de CO2 biogênico (t);Remoções de CO2 biogênico (t)
Alcoa Alumínio S.A. São Paulo;Alcoa São Paulo;48.879.175/0001-47;2023;Controle Operacional;Escopo 3;5. Resíduos gerados nas operações;15,988;0,161;0,000
Alcoa Alumínio S.A. São Paulo;Alcoa São Paulo;48.879.175/0001-47;2023;Controle Operacional;Escopo 3;6. Viagens a negócios;39,548;0,000;0,000
Alcoa Alumínio S.A. São Paulo;Alcoa São Paulo;48.879.175/0001-47;2023;Controle Operacional;Escopo 3;9. Transporte e distribuição (downstream);2611,934;311,898;0,000
Alcoa Alumínio S.A. São Paulo;Alcoa São Paulo;48.879.175/0001-47;2023;Participação Societária;Escopo 1;Fugitivas;0,012;0,000;0,000
Alcoa Alumínio S.A. São Paulo;Alcoa São Paulo;48.879.175/0001-47;2023;Participação Societária;Escopo 2;Aquisição de energia elétrica - Abordagem baseada na localização;2,108;0,000;0,000
Alcoa Alumínio S.A. São Paulo;Alcoa São Paulo;48.879.175/0001-47;2023;Participação Societária;Escopo 2;Aquisição de energia elétrica - Abordagem baseada na escolha de compra;0,000;0,000;0,000
Alcoa Alumínio S.A. São Paulo;Alcoa São Paulo;48.879.175/0001-47;2023;Participação Societária;Escopo 3;"3. Atividades relacionadas com
combustível e energia não inclusas
nos Escopos 1 e 2";0,940;0,000;0,000
Alcoa Alumínio S.A. São Paulo;Alcoa São Paulo;48.879.175/0001-47;2023;Participação Societária;Escopo 3;"4. Transporte e distribuição
(upstream)";881,131;105,216;0,000
Alcoa Alumínio S.A. São Paulo;Alcoa São Paulo;48.879.175/0001-47;2023;Participação Societária;Escopo 3;5. Resíduos gerados nas operações;39,548;0,000;0,000
Alcoa Alumínio S.A. São Paulo;Alcoa São Paulo;48.879.175/0001-47;2023;Participação Societária;Escopo 3;6. Viagens a negócios;561,050;0,000;0,000
Alcoa Alumínio S.A. São Paulo;Alcoa São Paulo;48.879.175/0001-47;2023;Participação Societária;Escopo 3;"9. Transporte e distribuição
(downstream)";2611,934;311,898;0,000
Alcoa Alumínio S.A. São Paulo;Alcoa São Paulo;48.879.175/0001-47;2023;Participação Societária;Escopo 3;Gás de efeito estufa não contemplados pelo Protocolo de Quioto: HCFC-22 ;824,203;0,000;0,000
Alcoa World Alumina Brasil Ltda.;Alcoa Juruti;06.167.730/0005-91;2023;Controle Operacional;Escopo 1;Combustão móvel;62388,485;7407,090;0,000
Alcoa World Alumina Brasil Ltda.;Alcoa Juruti;06.167.730/0005-91;2023;Controle Operacional;Escopo 1;Combustão estacionária;34953,315;4224,484;0,000
Alcoa World Alumina Brasil Ltda.;Alcoa Juruti;06.167.730/0005-91;2023;Controle Operacional;Escopo 1;Resíduos sólidos e efluentes líquidos;102,952;0,000;0,000
Alcoa World Alumina Brasil Ltda.;Alcoa Juruti;06.167.730/0005-91;2023;Controle Operacional;Escopo 1;Fugitivas;18,133;0,000;0,000
Alcoa World Alumina Brasil Ltda.;Alcoa Juruti;06.167.730/0005-91;2023;Controle Operacional;Escopo 1;Mudanças no uso do solo;302523,854;0,000;14899,309
Alcoa World Alumina Brasil Ltda.;Alcoa Juruti;06.167.730/0005-91;2023;Controle Operacional;Escopo 3;"3. Atividades relacionadas com
combustível e energia não inclusas
nos Escopos 1 e 2";25,417;0,000;0,000
Alcoa World Alumina Brasil Ltda.;Alcoa Juruti;06.167.730/0005-91;2023;Controle Operacional;Escopo 3;"4. Transporte e distribuição
(upstream)";1388,324;165,780;0,000
Alcoa World Alumina Brasil Ltda.;Alcoa Juruti;06.167.730/0005-91;2023;Controle Operacional;Escopo 3;6. Viagens a negócios;473,017;0,000;0,000
Alcoa World Alumina Brasil Ltda.;Alcoa Juruti;06.167.730/0005-91;2023;Controle Operacional;Escopo 3;Gás de efeito estufa não contemplados pelo Protocolo de Quioto: HCFC-22 ;3,520;0,000;0,000
Alcoa World Alumina Brasil Ltda.;Alcoa Juruti;06.167.730/0005-91;2023;Participação Societária;Escopo 1;Combustão móvel;62388,485;7407,090;0,000
Alcoa World Alumina Brasil Ltda.;Alcoa Juruti;06.167.730/0005-91;2023;Participação Societária;Escopo 1;Combustão estacionária;34953,315;4224,484;0,000
Alcoa World Alumina Brasil Ltda.;Alcoa Juruti;06.167.730/0005-91;2023;Participação Societária;Escopo 1;Resíduos sólidos e efluentes líquidos;102,952;0,000;0,000
Alcoa World Alumina Brasil Ltda.;Alcoa Juruti;06.167.730/0005-91;2023;Participação Societária;Escopo 1;Fugitivas;18,133;0,000;0,000
Alcoa World Alumina Brasil Ltda.;Alcoa Juruti;06.167.730/0005-91;2023;Participação Societária;Escopo 1;Mudanças no uso do solo;302523,854;0,000;14899,309
Alcoa World Alumina Brasil Ltda.;Alcoa Juruti;06.167.730/0005-91;2023;Participação Societária;Escopo 3;"3. Atividades relacionadas com
combustível e energia não inclusas
nos Escopos 1 e 2";25,417;0,000;0,000
Alcoa World Alumina Brasil Ltda.;Alcoa Juruti;06.167.730/0005-91;2023;Participação Societária;Escopo 3;"4. Transporte e distribuição
(upstream)";1388,324;165,780;0,000
Alcoa World Alumina Brasil Ltda.;Alcoa Juruti;06.167.730/0005-91;2023;Participação Societária;Escopo 3;6. Viagens a negócios;473,017;0,000;0,000
Alcoa World Alumina Brasil Ltda.;Alcoa Juruti;06.167.730/0005-91;2023;Participação Societária;Escopo 3;Gás de efeito estufa não contemplados pelo Protocolo de Quioto: HCFC-22 ;3,520;0,000;0,000
