Emissão/Remoção/Bunker;Gás;Setor de emissão;Categoria emissora;Sub-categoria emissora;Produto ou sistema;Detalhamento;Recorte;Atividade geral;Estado;Bioma;2019;2020;2021;2022;2023
Emissão;CO2e (t) GWP-AR6;Processos Industriais;Produção de metais;Produção de ferro gusa e aço;Consumo de combustíveis redutores;Produção de Gusa;Emissão efetiva;Metalurgia;Rio de Janeiro;NA;0,00;0,00;0,00;0,00;0,00
Emissão;CO2e (t) GWP-AR6;Processos Industriais;Produção de metais;Produção de ferro gusa e aço;Consumo de combustíveis redutores;Produção de Gusa;Emissão efetiva;Metalurgia;Rio Grande do Sul;NA;0,00;0,00;0,00;0,00;0,00
Emissão;CO2e (t) GWP-AR6;Processos Industriais;Produção de metais;Produção de ferro gusa e aço;Consumo de combustíveis redutores;Produção de Gusa;Emissão efetiva;Metalurgia;São Paulo;NA;9,28;9,20;9,65;9,27;8,91
Emissão;CO2e (t) GWP-AR6;Processos Industriais;Produção de metais;Produção de ferroligas;Consumo de combustíveis redutores;Carvão vapor 6000;Emissão efetiva;Metalurgia;Bahia;NA;0,00;0,00;0,00;0,00;0,00
Emissão;CO2e (t) GWP-AR6;Processos Industriais;Produção de metais;Produção de ferroligas;Consumo de combustíveis redutores;Carvão vapor 6000;Emissão efetiva;Metalurgia;Mato Grosso do Sul;NA;0,00;0,00;0,00;0,00;0,00
Emissão;CO2e (t) GWP-AR6;Processos Industriais;Produção de metais;Produção de ferroligas;Consumo de combustíveis redutores;Carvão vapor 6000;Emissão efetiva;Metalurgia;Minas Gerais;NA;0,00;0,00;0,00;0,00;0,00
Emissão;CO2e (t) GWP-AR6;Processos Industriais;Produção de metais;Produção de ferroligas;Consumo de combustíveis redutores;Carvão vapor 6000;Emissão efetiva;Metalurgia;Não Alocado;NA;0,00;0,00;0,00;0,00;0,00
Emissão;CO2e (t) GWP-AR6;Processos Industriais;Produção de metais;Produção de ferroligas;Consumo de combustíveis redutores;Carvão vapor 6000;Emissão efetiva;Metalurgia;São Paulo;NA;0,00;0,00;0,00;0,00;0,00
Emissão;CO2e (t) GWP-AR6;Processos Industriais;Produção de metais;Produção de ferroligas;Consumo de combustíveis redutores;Carvão vegetal;Emissão efetiva;Metalurgia;Bahia;NA;14496,39;15607,49;31109,20;30710,80;28710,80
Emissão;CO2e (t) GWP-AR6;Processos Industriais;Produção de metais;Produção de ferroligas;Consumo de combustíveis redutores;Carvão vegetal;Emissão efetiva;Metalurgia;Mato Grosso do Sul;NA;0,00;0,00;0,00;0,00;0,00
