Emissão/Remoção/Bunker;Gás;Setor de emissão;Categoria emissora;Sub-categoria emissora;Produto ou sistema;Detalhamento;Recorte;Atividade geral;Estado;Bioma;2019;2020;2021;2022;2023
Emissão;CO2e (t) GTP-AR6;Agropecuária;Cultivo de arroz;Cultivo em sistema irrigado inundado;Arroz;Vegetal;Diretas;Agricultura;Tocantins;Cerrado;142419;158214;160690;148441;122713
Emissão;CO2e (t) GTP-AR6;Agropecuária;Cultivo de arroz;Cultivo em sistema irrigado inundado;Arroz;Vegetal;Diretas;Agricultura;Alagoas;Mata Atlântica;1978;1330;2126;1527;1170
Emissão;CO2e (t) GTP-AR6;Agropecuária;Cultivo de arroz;Cultivo em sistema irrigado inundado;Arroz;Vegetal;Diretas;Agricultura;Bahia;Mata Atlântica; -   ; -   ; -   ; -   ; -   
Emissão;CO2e (t) GTP-AR6;Agropecuária;Cultivo de arroz;Cultivo em sistema irrigado inundado;Arroz;Vegetal;Diretas;Agricultura;Espírito Santo;Mata Atlântica;91;86;93;93; -   
Emissão;CO2e (t) GTP-AR6;Agropecuária;Cultivo de arroz;Cultivo em sistema irrigado inundado;Arroz;Vegetal;Diretas;Agricultura;Goiás;Mata Atlântica;6;12;14;8;6
Emissão;CO2e (t) GTP-AR6;Agropecuária;Cultivo de arroz;Cultivo em sistema irrigado inundado;Arroz;Vegetal;Diretas;Agricultura;Mato Grosso do Sul;Mata Atlântica;3976;3807;5433;5481;4371
Emissão;CO2e (t) GTP-AR6;Agropecuária;Cultivo de arroz;Cultivo em sistema irrigado inundado;Arroz;Vegetal;Diretas;Agricultura;Minas Gerais;Mata Atlântica;414;498;579;844;831
Emissão;CO2e (t) GTP-AR6;Agropecuária;Cultivo de arroz;Cultivo em sistema irrigado inundado;Arroz;Vegetal;Diretas;Agricultura;Paraíba;Mata Atlântica; -   ; -   ; -   ; -   ; -   
Emissão;CO2e (t) GTP-AR6;Agropecuária;Cultivo de arroz;Cultivo em sistema irrigado inundado;Arroz;Vegetal;Diretas;Agricultura;Paraná;Mata Atlântica;24211;24862;24882;24575;26120
Emissão;CO2e (t) GTP-AR6;Agropecuária;Cultivo de arroz;Cultivo em sistema irrigado inundado;Arroz;Vegetal;Diretas;Agricultura;Pernambuco;Mata Atlântica; -   ; -   ; -   ; -   ; -   
Emissão;CO2e (t) GTP-AR6;Agropecuária;Cultivo de arroz;Cultivo em sistema irrigado inundado;Arroz;Vegetal;Diretas;Agricultura;Rio de Janeiro;Mata Atlântica;199;33;240;31; -   
Emissão;CO2e (t) GTP-AR6;Agropecuária;Cultivo de arroz;Cultivo em sistema irrigado inundado;Arroz;Vegetal;Diretas;Agricultura;Rio Grande do Norte;Mata Atlântica; -   ; -   ; -   ; -   ; -   
Emissão;CO2e (t) GTP-AR6;Agropecuária;Cultivo de arroz;Cultivo em sistema irrigado inundado;Arroz;Vegetal;Diretas;Agricultura;Rio Grande do Sul;Mata Atlântica;69767;67641;71148;65331;59727
Emissão;CO2e (t) GTP-AR6;Agropecuária;Cultivo de arroz;Cultivo em sistema irrigado inundado;Arroz;Vegetal;Diretas;Agricultura;Santa Catarina;Mata Atlântica;102117;106354;105529;104348;104709
Emissão;CO2e (t) GTP-AR6;Agropecuária;Cultivo de arroz;Cultivo em sistema irrigado inundado;Arroz;Vegetal;Diretas;Agricultura;São Paulo;Mata Atlântica;9458;9349;7695;7930;8981
Emissão;CO2e (t) GTP-AR6;Agropecuária;Cultivo de arroz;Cultivo em sistema irrigado inundado;Arroz;Vegetal;Diretas;Agricultura;Sergipe;Mata Atlântica;5793;5264;6778;6707;7112
Emissão;CO2e (t) GTP-AR6;Agropecuária;Cultivo de arroz;Cultivo em sistema irrigado inundado;Arroz;Vegetal;Diretas;Agricultura;Rio Grande do Sul;Pampa;1330943;1297537;1319477;1289909;1149328
Emissão;CO2e (t) GTP-AR6;Agropecuária;Cultivo de arroz;Cultivo em sistema irrigado inundado;Arroz;Vegetal;Diretas;Agricultura;Mato Grosso;Pantanal;0;0;0;2; -   
Emissão;CO2e (t) GTP-AR6;Agropecuária;Cultivo de arroz;Cultivo em sistema irrigado inundado;Arroz;Vegetal;Diretas;Agricultura;Mato Grosso do Sul;Pantanal;159;168;155;202;79
