Emissão/Remoção/Bunker;Gás;Setor de emissão;Categoria emissora;Sub-categoria emissora;Produto ou sistema;Detalhamento;Recorte;Atividade geral;Estado;Bioma;2019;2020;2021;2022;2023
Emissão;CO2e (t) GWP-AR6;Agropecuária;Cultivo de arroz;Cultivo em sistema irrigado inundado;Arroz;Vegetal;Diretas;Agricultura;Piauí;Cerrado;25310,91;25870,47;25647,94;25019,30;25701,26
Emissão;CO2e (t) GWP-AR6;Agropecuária;Cultivo de arroz;Cultivo em sistema irrigado inundado;Arroz;Vegetal;Diretas;Agricultura;Rondônia;Cerrado;0,00;0,00;0,00;0,00;0,00
Emissão;CO2e (t) GWP-AR6;Agropecuária;Cultivo de arroz;Cultivo em sistema irrigado inundado;Arroz;Vegetal;Diretas;Agricultura;São Paulo;Cerrado;1521,81;1377,64;263,35;876,37;1282,69
Emissão;CO2e (t) GWP-AR6;Agropecuária;Cultivo de arroz;Cultivo em sistema irrigado inundado;Arroz;Vegetal;Diretas;Agricultura;Tocantins;Cerrado;818151,27;908887,90;923110,10;852747,70;704949,08
Emissão;CO2e (t) GWP-AR6;Agropecuária;Cultivo de arroz;Cultivo em sistema irrigado inundado;Arroz;Vegetal;Diretas;Agricultura;Alagoas;Mata Atlântica;11365,70;7638,24;12212,97;8774,67;6722,25
Emissão;CO2e (t) GWP-AR6;Agropecuária;Cultivo de arroz;Cultivo em sistema irrigado inundado;Arroz;Vegetal;Diretas;Agricultura;Bahia;Mata Atlântica;0,00;0,00;0,00;0,00;0,00
Emissão;CO2e (t) GWP-AR6;Agropecuária;Cultivo de arroz;Cultivo em sistema irrigado inundado;Arroz;Vegetal;Diretas;Agricultura;Espírito Santo;Mata Atlântica;521,31;491,96;532,21;533,48;0,00
Emissão;CO2e (t) GWP-AR6;Agropecuária;Cultivo de arroz;Cultivo em sistema irrigado inundado;Arroz;Vegetal;Diretas;Agricultura;Goiás;Mata Atlântica;35,60;66,65;79,03;46,73;34,48
Emissão;CO2e (t) GWP-AR6;Agropecuária;Cultivo de arroz;Cultivo em sistema irrigado inundado;Arroz;Vegetal;Diretas;Agricultura;Mato Grosso do Sul;Mata Atlântica;22838,06;21872,77;31211,74;31486,84;25109,92
Emissão;CO2e (t) GWP-AR6;Agropecuária;Cultivo de arroz;Cultivo em sistema irrigado inundado;Arroz;Vegetal;Diretas;Agricultura;Minas Gerais;Mata Atlântica;2376,61;2860,89;3328,15;4846,21;4770,99
Emissão;CO2e (t) GWP-AR6;Agropecuária;Cultivo de arroz;Cultivo em sistema irrigado inundado;Arroz;Vegetal;Diretas;Agricultura;Paraíba;Mata Atlântica;0,00;0,00;0,00;0,00;0,00
Emissão;CO2e (t) GWP-AR6;Agropecuária;Cultivo de arroz;Cultivo em sistema irrigado inundado;Arroz;Vegetal;Diretas;Agricultura;Paraná;Mata Atlântica;139084,26;142824,06;142937,19;141177,85;150053,88
Emissão;CO2e (t) GWP-AR6;Agropecuária;Cultivo de arroz;Cultivo em sistema irrigado inundado;Arroz;Vegetal;Diretas;Agricultura;Pernambuco;Mata Atlântica;0,00;0,00;0,00;0,00;0,00
Emissão;CO2e (t) GWP-AR6;Agropecuária;Cultivo de arroz;Cultivo em sistema irrigado inundado;Arroz;Vegetal;Diretas;Agricultura;Rio de Janeiro;Mata Atlântica;1144,02;187,20;1380,10;176,27;0,00
Emissão;CO2e (t) GWP-AR6;Agropecuária;Cultivo de arroz;Cultivo em sistema irrigado inundado;Arroz;Vegetal;Diretas;Agricultura;Rio Grande do Norte;Mata Atlântica;0,00;0,00;0,00;0,00;0,00
Emissão;CO2e (t) GWP-AR6;Agropecuária;Cultivo de arroz;Cultivo em sistema irrigado inundado;Arroz;Vegetal;Diretas;Agricultura;Rio Grande do Sul;Mata Atlântica;400786,83;388574,04;408722,00;375303,91;343112,15
Emissão;CO2e (t) GWP-AR6;Agropecuária;Cultivo de arroz;Cultivo em sistema irrigado inundado;Arroz;Vegetal;Diretas;Agricultura;Santa Catarina;Mata Atlântica;586632,06;610967,69;606228,58;599446,12;601518,20
Emissão;CO2e (t) GWP-AR6;Agropecuária;Cultivo de arroz;Cultivo em sistema irrigado inundado;Arroz;Vegetal;Diretas;Agricultura;São Paulo;Mata Atlântica;54335,83;53704,86;44204,48;45552,80;51590,79
