NOME;NOME FANTASIA;CNPJ;ESTADO;ANO;Relatório;ESCOPO;Categoria;Emissões (tCO2e);Emissões de CO2 biogênico (t);Remoções de CO2 biogênico (t);Gás
Consórcio de Alumínio do Maranhão;Consórcio Alumar;00.655.209/0001-93;MA;2023;Controle Operacional;Escopo 1;Fugitivas;1214,55;0,00;0,00;
Consórcio de Alumínio do Maranhão;Consórcio Alumar;00.655.209/0001-93;MA;2023;Controle Operacional;Escopo 1;Mudanças no uso do solo;57180,86;0,00;520,58;
Consórcio de Alumínio do Maranhão;Consórcio Alumar;00.655.209/0001-93;MA;2023;Controle Operacional;Escopo 2;Aquisição de energia elétrica - Abordagem baseada na localização;180377,05;0,00;0,00;
Consórcio de Alumínio do Maranhão;Consórcio Alumar;00.655.209/0001-93;MA;2023;Controle Operacional;Escopo 2;Aquisição de energia elétrica - Abordagem baseada na escolha de compra;73132,28;0,00;0,00;
Consórcio de Alumínio do Maranhão;Consórcio Alumar;00.655.209/0001-93;MA;2023;Participação Societária;Escopo 1;Combustão móvel;11286,88;1400,99;0,00;
Consórcio de Alumínio do Maranhão;Consórcio Alumar;00.655.209/0001-93;MA;2023;Participação Societária;Escopo 1;Combustão estacionária;1969191,46;156,81;0,00;
Consórcio de Alumínio do Maranhão;Consórcio Alumar;00.655.209/0001-93;MA;2023;Participação Societária;Escopo 1;Processos industriais;576108,89;0,00;0,00;
Consórcio de Alumínio do Maranhão;Consórcio Alumar;00.655.209/0001-93;MA;2023;Participação Societária;Escopo 1;Resíduos sólidos e efluentes líquidos;71805,48;0,00;0,00;
Consórcio de Alumínio do Maranhão;Consórcio Alumar;00.655.209/0001-93;MA;2023;Participação Societária;Escopo 1;Fugitivas;1214,55;0,00;0,00;
Consórcio de Alumínio do Maranhão;Consórcio Alumar;00.655.209/0001-93;MA;2023;Participação Societária;Escopo 1;Mudanças no uso do solo;57180,86;0,00;520,58;
Consórcio de Alumínio do Maranhão;Consórcio Alumar;00.655.209/0001-93;MA;2023;Participação Societária;Escopo 2;Aquisição de energia elétrica - Abordagem baseada na localização;180377,05;0,00;0,00;
Consórcio de Alumínio do Maranhão;Consórcio Alumar;00.655.209/0001-93;MA;2023;Participação Societária;Escopo 2;Aquisição de energia elétrica - Abordagem baseada na escolha de compra;73132,28;0,00;0,00;
Companhia Geral de Minas;CGM;60.580.396/0001-15;MG;2023;Controle Operacional;Escopo 1;Combustão móvel;749,48;89,37;0,00;
Companhia Geral de Minas;CGM;60.580.396/0001-15;MG;2023;Controle Operacional;Escopo 1;Atividades agrícolas;114,33;0,00;0,00;
Companhia Geral de Minas;CGM;60.580.396/0001-15;MG;2023;Controle Operacional;Escopo 1;Mudanças no uso do solo;647,64;7880,56;7,69;
Companhia Geral de Minas;CGM;60.580.396/0001-15;MG;2023;Participação Societária;Escopo 1;Combustão móvel;749,48;89,37;0,00;
Companhia Geral de Minas;CGM;60.580.396/0001-15;MG;2023;Participação Societária;Escopo 1;Atividades agrícolas;114,33;0,00;0,00;
Companhia Geral de Minas;CGM;60.580.396/0001-15;MG;2023;Participação Societária;Escopo 1;Mudanças no uso do solo;647,64;7880,56;7,69;
Alcoa Alumínio S.A. Poços de Caldas;Alcoa Poços de Caldas;23.637.697/0001-01;MG;2023;Controle Operacional;Escopo 1;Combustão móvel;2687,95;283,80;0,00;
Alcoa Alumínio S.A. Poços de Caldas;Alcoa Poços de Caldas;23.637.697/0001-01;MG;2023;Controle Operacional;Escopo 1;Combustão estacionária;40067,00;0,00;0,00;
Alcoa Alumínio S.A. Poços de Caldas;Alcoa Poços de Caldas;23.637.697/0001-01;MG;2023;Controle Operacional;Escopo 1;Resíduos sólidos e efluentes líquidos;240,63;0,00;0,00;
Alcoa Alumínio S.A. Poços de Caldas;Alcoa Poços de Caldas;23.637.697/0001-01;MG;2023;Controle Operacional;Escopo 1;Fugitivas;318,89;0,00;0,00;
Alcoa Alumínio S.A. Poços de Caldas;Alcoa Poços de Caldas;23.637.697/0001-01;MG;2023;Controle Operacional;Escopo 1;Mudanças no uso do solo;0,00;6091,38;0,00;
Alcoa Alumínio S.A. Poços de Caldas;Alcoa Poços de Caldas;23.637.697/0001-01;MG;2023;Controle Operacional;Escopo 2;Aquisição de energia elétrica - Abordagem baseada na localização;12505,35;0,00;0,00;
Alcoa Alumínio S.A. Poços de Caldas;Alcoa Poços de Caldas;23.637.697/0001-01;MG;2023;Participação Societária;Escopo 1;Combustão móvel;2687,95;283,80;0,00;
Alcoa Alumínio S.A. Poços de Caldas;Alcoa Poços de Caldas;23.637.697/0001-01;MG;2023;Participação Societária;Escopo 1;Combustão estacionária;40067,00;0,00;0,00;
Alcoa Alumínio S.A. Poços de Caldas;Alcoa Poços de Caldas;23.637.697/0001-01;MG;2023;Participação Societária;Escopo 1;Resíduos sólidos e efluentes líquidos;240,63;0,00;0,00;
Alcoa Alumínio S.A. Poços de Caldas;Alcoa Poços de Caldas;23.637.697/0001-01;MG;2023;Participação Societária;Escopo 1;Fugitivas;318,89;0,00;0,00;
